연번, 구분,대여소ID,대여소번호,대여소명,거치대수,위도,경도
36,강남구,ST-795,2312,2312. 청담역 13번 출구 앞,10,37.52058,127.056328
37,강남구,ST-960,2350,2350. 래미안그레이튼102동앞,10,37.494823,127.047905
38,강남구,ST-1170,2361,2361. 압구정역 교차로,10,37.526844,127.028259
39,강남구,ST-1407,2387,2387. 래미안강남힐즈 사거리,10,37.472454,127.096077
40,강남구,ST-792,2307,2307. 압구정 한양 3차 아파트,10,37.528614,127.038559
41,강남구,ST-958,2359,"2359. 국립국악중,고교 정문 맞은편",10,37.475605,127.050377
42,강남구,ST-821,2340,2340. 삼호물산버스정류장(23370) 옆,15,37.477509,127.045174
43,강남구,ST-789,2304,2304. 신영 ROYAL PALACE 앞,10,37.512527,127.035835
44,강남구,ST-955,2355,2355. 삼성역 5~6번 출구 사이,20,37.509121,127.062309
45,강남구,ST-819,2336,2336. 강남세브란스교차로  래미안그레이튼 104동 앞,10,37.494236,127.047462
46,강남구,ST-786,2311,2311. 학동로 래미안 아파트 앞,10,37.517773,127.043022
47,강남구,ST-1364,2384,2384. 자곡사거리,10,37.476028,127.105942
48,강남구,ST-816,2333,2333. 양재역 3번출구 주변,15,37.485157,127.034073
49,강남구,ST-1577,2407,2407. 역삼.서초.삼성 세무서 앞 (역삼빌딩 앞),10,37.49847,127.030113
50,강남구,ST-782,2337,2337. 대모산입구역 2번출구 앞,15,37.492077,127.071976
51,강남구,ST-813,2330,2330. 스타벅스 앞,10,37.492199,127.039459
52,강남구,ST-1574,2404,2404. 대모산입구역 4번 출구 앞,10,37.49181,127.073158
53,강남구,ST-810,2327,2327. 뱅뱅사거리 랜드마크타워 앞,15,37.490551,127.031464
54,강남구,ST-777,2301,2301. 현대고등학교 건너편,10,37.524071,127.02179
55,강남구,ST-808,2325,2325. 대치동 버거킹대치점,10,37.49865,127.059319
56,강남구,ST-1186,2377,2377. 수서역 5번출구 뒤,10,37.486835,127.102753
57,강남구,ST-805,2322,2322. 삼성역 3번 출구,15,37.508091,127.063103
58,강남구,ST-1182,2373,2373. 개포동역 사거리,20,37.489277,127.065575
59,강남구,ST-1564,2394,2394. 래미안강남포레스트 입구 (보도육교),10,37.479092,127.055397
60,강남구,ST-937,2351,2351. 청소년수련관(수영장)앞,15,37.483879,127.089027
61,강남구,ST-802,2319,2319. 포스코4거리 서측(수협 삼성동 지점),10,37.506607,127.05468
62,강남구,ST-1248,2383,2383. 보금자리정원,10,37.466328,127.094887
63,강남구,ST-1561,2391,2391. 구룡마을 입구(개포1단지아파트),10,37.479328,127.064278
64,강남구,ST-1245,2380,2380. 삼성동베이직하우스앞,15,37.511696,127.049347
65,강남구,ST-1177,2368,2368. 도곡동 경남아파트 건너편,10,37.489342,127.041298
66,강남구,ST-1559,2389,2389. 경기여자고등학교 후문 (삼성로3길 입구),15,37.48616,127.067238
67,강남구,ST-797,2348,2348. 포스코사거리(기업은행),20,37.507233,127.056854
